x0000,y0000,x0001,y0001
3.666576475,-142.3228737,3.666576475,-118.4619146,
3.668764361,-148.3238189,3.668764361,-107.5806046,
3.670941281,-145.1642128,3.670941281,-94.4521728,
3.673107342,-141.8075202,3.673107342,-94.29160825,
3.675262655,-138.6283758,3.675262655,-100.8221341,
3.677407323,-135.6376251,3.677407323,-101.8262272,
3.679541452,-127.7889403,3.679541452,-93.56977091,
3.681665146,-125.5251743,3.681665146,-90.77317197,
3.683778505,-131.436179,3.683778505,-97.83736169,
3.685881631,-143.2523648,3.685881631,-106.1510944,
3.68797462,-129.8556941,3.68797462,-88.84126742,
3.690057571,-124.5324422,3.690057571,-83.48940351,
3.69213058,-128.8120357,3.69213058,-87.60172146,
3.69419374,-142.158505,3.69419374,-104.0180955,
3.696247146,-140.2029133,3.696247146,-103.8144988,
3.698290889,-135.1558392,3.698290889,-102.1138826,
3.700325058,-136.7712466,3.700325058,-107.7612229,
3.702349745,-143.1362251,3.702349745,-114.5790626,
3.704365036,-144.9462334,3.704365036,-108.4983006,
3.706371019,-137.0209093,3.706371019,-95.83876107,
3.708367779,-137.0474079,3.708367779,-94.939306,
3.7103554,-144.7481098,3.7103554,-101.9829976,
3.712333966,-151.2484217,3.712333966,-107.8792207,
3.714303559,-158.7841366,3.714303559,-109.3931556,
3.71626426,-133.7166526,3.71626426,-102.8598326,
3.718216148,-117.4749309,3.718216148,-89.53302419,
3.720159303,-113.1406716,3.720159303,-85.74796381,
3.722093803,-119.7549913,3.722093803,-98.66815926,
3.724019724,-126.8973103,3.724019724,-88.23667031,
3.725937142,-127.9556843,3.725937142,-89.79922341,
3.727846132,-140.2308764,3.727846132,-102.9457809,
3.729746767,-133.2163468,3.729746767,-98.11171255,
3.731639121,-125.1277627,3.731639121,-89.85468802,
3.733523265,-125.7669943,3.733523265,-90.56947563,
3.73539927,-133.6202991,3.73539927,-99.51976647,
3.737267206,-133.7987848,3.737267206,-98.66311719,
3.739127142,-125.6840443,3.739127142,-89.12436043,
3.740979147,-124.8847666,3.740979147,-87.86748895,
3.742823288,-133.5303794,3.742823288,-95.95703188,
3.744659631,-142.6697395,3.744659631,-104.8519937,
3.746488242,-129.9123714,3.746488242,-92.28033756,
3.748309186,-126.7795295,3.748309186,-89.18657428,
3.750122527,-131.4780592,3.750122527,-94.35545912,
3.751928328,-140.2862075,3.751928328,-118.7647159,
3.753726651,-126.3136796,3.753726651,-89.91050445,
3.755517559,-120.3666366,3.755517559,-83.35756861,
3.757301111,-123.4884788,3.757301111,-86.1200102,
3.759077369,-138.0213878,3.759077369,-99.73576103,
3.760846392,-149.5643518,3.760846392,-110.0962918,
3.762608238,-137.8338837,3.762608238,-102.1682123,
3.764362966,-135.9304928,3.764362966,-104.7543384,
3.766110632,-141.1159349,3.766110632,-115.017163,
3.767851294,-134.0237161,3.767851294,-103.2864922,
3.769585007,-124.9537731,3.769585007,-89.29885852,
3.771311826,-123.0118382,3.771311826,-86.79153339,
3.773031806,-130.2172839,3.773031806,-92.94118865,
3.774745002,-136.2367382,3.774745002,-103.8345502,
3.776451466,-119.8575312,3.776451466,-96.87824192,
3.77815125,-115.2649566,3.77815125,-92.93158452,
3.779844408,-120.0576891,3.779844408,-97.46052664,
3.781530991,-143.4982019,3.781530991,-131.6918135,
3.783211049,-127.4213613,3.783211049,-92.67960556,
3.784884633,-121.2852574,3.784884633,-85.74668562,
3.786551792,-123.7905427,3.786551792,-87.87028116,
3.788212576,-136.5699554,3.788212576,-100.3814021,
3.789867034,-143.7056324,3.789867034,-119.1582171,
3.791515212,-136.1047165,3.791515212,-106.5263697,
3.793157159,-137.7847528,3.793157159,-105.6110535,
3.794792922,-152.5745364,3.794792922,-113.2257738,
3.796422546,-138.7174092,3.796422546,-102.6074568,
3.798046079,-123.899941,3.798046079,-89.08468523,
3.799663565,-120.5587451,3.799663565,-86.39148028,
3.801275049,-125.6466275,3.801275049,-92.66931351,
3.802880576,-135.7538272,3.802880576,-107.1064191,
3.804480189,-134.5051512,3.804480189,-103.4645676,
3.806073932,-131.5295553,3.806073932,-99.25886985,
3.807661848,-134.640743,3.807661848,-102.6073977,
3.809243979,-149.1185556,3.809243979,-114.1292227,
3.810820367,-128.3947798,3.810820367,-95.20452459,
3.812391054,-121.3600625,3.812391054,-87.36732515,
3.813956081,-123.0071112,3.813956081,-88.80302759,
3.815515488,-134.6479658,3.815515488,-99.91556445,
3.817069316,-152.6964633,3.817069316,-110.2340145,
3.818617605,-142.253477,3.818617605,-105.0509145,
3.820160393,-141.0732367,3.820160393,-104.3799768,
3.821697721,-147.9349704,3.821697721,-112.794168,
3.823229625,-135.0628565,3.823229625,-102.6046104,
3.824756145,-123.4637329,3.824756145,-89.31723089,
3.826277318,-120.54072,3.826277318,-85.96579575,
3.827793182,-119.2163857,3.827793182,-89.4188537,
3.829303773,-116.0024925,3.829303773,-90.2844108,
3.830809128,-120.0018769,3.830809128,-95.05196971,
3.832309283,-129.8040519,3.832309283,-102.975269,
3.833804274,-145.4170378,3.833804274,-106.3243174,
3.835294137,-136.8539326,3.835294137,-109.2407468,
3.836778905,-132.7524546,3.836778905,-98.49293925,
3.838258615,-126.4765948,3.838258615,-90.65839756,
3.839733301,-127.589747,3.839733301,-91.48486775,
3.841202996,-136.7926992,3.841202996,-101.4190273,
3.842667734,-150.7622203,3.842667734,-117.1371292,
3.844127549,-136.1285729,3.844127549,-99.91210548,
3.845582473,-132.9347876,3.845582473,-98.02947699,
3.84703254,-143.6955508,3.84703254,-106.7994914,
3.848477781,-135.7952774,3.848477781,-104.4958604,
3.849918228,-125.270506,3.849918228,-90.43252925,
3.851353914,-122.1743789,3.851353914,-86.7892411,
3.852784869,-128.0732414,3.852784869,-92.29460525,
3.854211124,-141.1170559,3.854211124,-110.9447776,
3.855632712,-136.5608671,3.855632712,-112.9846419,
3.857049661,-132.53389,3.857049661,-106.4039182,
3.858462002,-134.226796,3.858462002,-110.5104573,
3.859869764,-138.3927202,3.859869764,-118.5266075,
3.861272979,-139.8662074,3.861272979,-120.5249637,
3.862671674,-142.0875705,3.862671674,-107.4896435,
3.864065879,-143.5306817,3.864065879,-107.0020208,
3.865455623,-147.3435373,3.865455623,-114.4520644,
3.866840933,-140.5276893,3.866840933,-117.4646169,
3.868221839,-136.4790174,3.868221839,-107.3218842,
3.869598368,-139.080618,3.869598368,-109.0495724,
3.870970547,-141.0065739,3.870970547,-118.3683095,
3.872338405,-141.3997174,3.872338405,-115.2598868,
3.873701968,-122.2049404,3.873701968,-98.23020715,
3.875061263,-116.6665704,3.875061263,-92.99950416,
3.876416317,-119.8850378,3.876416317,-96.8613253,
3.877767157,-131.641639,3.877767157,-109.3529129,
3.879113807,-139.173071,3.879113807,-107.6266671,
3.880456295,-131.4796805,3.880456295,-102.2967154,
3.881794646,-133.6570454,3.881794646,-104.9208775,
3.883128885,-144.8514512,3.883128885,-118.5944516,
3.884459038,-132.3720008,3.884459038,-95.18046448,
3.885785129,-121.8362281,3.885785129,-84.91482571,
3.887107183,-121.7567265,3.887107183,-84.54079482,
3.888425225,-131.3054845,3.888425225,-93.49725772,
3.889739279,-144.9994339,3.889739279,-117.2144477,
3.891049369,-137.4404068,3.891049369,-115.4781376,
3.892355519,-136.4210957,3.892355519,-109.100072,
3.893657752,-143.7749291,3.893657752,-113.6310053,
3.894956092,-143.0484994,3.894956092,-112.3293859,
3.896250562,-140.6153492,3.896250562,-120.0791443,
3.897541186,-140.0839679,3.897541186,-116.4476681,
3.898827985,-136.7845076,3.898827985,-123.3376587,
3.900110983,-137.4357077,3.900110983,-113.3683458,
3.901390202,-140.8591736,3.901390202,-118.8620384,
3.902665664,-143.6093161,3.902665664,-123.8695736,
3.903937391,-143.4590172,3.903937391,-113.5925848,
3.905205405,-148.7502254,3.905205405,-113.855728,
3.906469728,-139.9237286,3.906469728,-104.4082967,
3.90773038,-132.2644144,3.90773038,-94.62501932,
3.908987384,-131.3324339,3.908987384,-93.67739185,
3.91024076,-135.7719982,3.91024076,-101.3301758,
3.911490529,-149.749434,3.911490529,-117.7711028,
